cve_id,published
CVE-1999-0957,1997-06-18T04:00:00.000
CVE-1999-1483,1997-06-19T04:00:00.000
CVE-1999-1192,1997-06-24T04:00:00.000
CVE-1999-1423,1997-06-26T04:00:00.000
CVE-1999-0074,1997-07-01T04:00:00.000
CVE-1999-0076,1997-07-01T04:00:00.000
CVE-1999-0111,1997-07-01T04:00:00.000
CVE-1999-0147,1997-07-01T04:00:00.000
CVE-1999-0150,1997-07-01T04:00:00.000
CVE-1999-0153,1997-07-01T04:00:00.000
CVE-1999-0156,1997-07-01T04:00:00.000
CVE-1999-0169,1997-07-01T04:00:00.000
CVE-1999-0184,1997-07-01T04:00:00.000
CVE-1999-0195,1997-07-01T04:00:00.000
CVE-1999-0219,1997-07-01T04:00:00.000
CVE-1999-0250,1997-07-01T04:00:00.000
CVE-1999-0526,1997-07-01T04:00:00.000
CVE-1999-0532,1997-07-01T04:00:00.000
CVE-1999-0533,1997-07-01T04:00:00.000
CVE-1999-0541,1997-07-01T04:00:00.000
CVE-1999-0628,1997-07-01T04:00:00.000
CVE-1999-1326,1997-07-04T04:00:00.000
CVE-1999-0031,1997-07-08T04:00:00.000
CVE-1999-0196,1997-07-08T04:00:00.000
CVE-1999-0176,1997-07-10T04:00:00.000
CVE-1999-1463,1997-07-10T04:00:00.000
CVE-1999-0059,1997-07-14T04:00:00.000
CVE-1999-0146,1997-07-15T04:00:00.000
CVE-1999-0025,1997-07-16T04:00:00.000
CVE-1999-0026,1997-07-16T04:00:00.000
CVE-1999-0027,1997-07-16T04:00:00.000
CVE-1999-0028,1997-07-16T04:00:00.000
CVE-1999-0029,1997-07-16T04:00:00.000
CVE-1999-0030,1997-07-16T04:00:00.000
CVE-1999-1182,1997-07-17T04:00:00.000
CVE-1999-0122,1997-07-21T04:00:00.000
CVE-1999-0247,1997-07-21T04:00:00.000
CVE-1999-1208,1997-07-21T04:00:00.000
CVE-1999-0971,1997-07-22T04:00:00.000
CVE-1999-1068,1997-07-23T04:00:00.000
CVE-1999-1217,1997-07-25T04:00:00.000
CVE-1999-1419,1997-07-30T04:00:00.000
CVE-1999-1308,1997-07-31T04:00:00.000
CVE-1999-0238,1997-08-01T04:00:00.000
CVE-1999-0301,1997-08-01T04:00:00.000
CVE-1999-0524,1997-08-01T04:00:00.000
CVE-1999-0566,1997-08-01T04:00:00.000
CVE-1999-1262,1997-08-01T04:00:00.000
CVE-1999-1446,1997-08-05T04:00:00.000
CVE-1999-0152,1997-08-11T04:00:00.000
CVE-1999-0024,1997-08-13T04:00:00.000
CVE-1999-1250,1997-08-19T04:00:00.000
CVE-1999-1399,1997-08-20T04:00:00.000
CVE-1999-1220,1997-08-24T04:00:00.000
CVE-1999-1225,1997-08-24T04:00:00.000
CVE-1999-0071,1997-09-01T04:00:00.000
CVE-1999-0115,1997-09-01T04:00:00.000
CVE-1999-0148,1997-09-01T04:00:00.000
CVE-1999-0177,1997-09-01T04:00:00.000
CVE-1999-0183,1997-09-01T04:00:00.000
CVE-1999-0191,1997-09-01T04:00:00.000
CVE-1999-0237,1997-09-01T04:00:00.000
CVE-1999-1133,1997-09-01T04:00:00.000
CVE-1999-1139,1997-09-01T04:00:00.000
CVE-1999-1275,1997-09-08T04:00:00.000
CVE-1999-0079,1997-09-12T04:00:00.000
CVE-1999-1214,1997-09-15T04:00:00.000
CVE-1999-0667,1997-09-19T04:00:00.000
CVE-1999-0956,1997-09-19T04:00:00.000
CVE-1999-0965,1997-09-19T04:00:00.000
CVE-1999-1125,1997-09-19T04:00:00.000
CVE-1999-0267,1997-09-23T04:00:00.000
CVE-1999-0282,1997-09-23T04:00:00.000
CVE-1999-0955,1997-09-23T04:00:00.000
CVE-1999-0182,1997-09-30T04:00:00.000
CVE-1999-0090,1997-10-01T04:00:00.000
CVE-1999-0160,1997-10-01T04:00:00.000
CVE-1999-0185,1997-10-01T04:00:00.000
CVE-1999-0272,1997-10-01T04:00:00.000
CVE-1999-0294,1997-10-01T04:00:00.000
CVE-1999-0295,1997-10-01T04:00:00.000
CVE-1999-0300,1997-10-01T04:00:00.000
CVE-1999-0326,1997-10-01T04:00:00.000
CVE-1999-1213,1997-10-01T04:00:00.000
CVE-1999-0061,1997-10-02T04:00:00.000
CVE-1999-1061,1997-10-04T04:00:00.000
CVE-1999-1062,1997-10-04T04:00:00.000
CVE-1999-1095,1997-10-06T04:00:00.000
CVE-1999-1224,1997-10-08T04:00:00.000
CVE-1999-0346,1997-10-16T04:00:00.000
CVE-1999-0192,1997-10-18T04:00:00.000
CVE-1999-0068,1997-10-19T04:00:00.000
CVE-1999-0072,1997-10-22T04:00:00.000
CVE-1999-1131,1997-10-24T04:00:00.000
CVE-1999-1261,1997-10-24T04:00:00.000
CVE-1999-0089,1997-10-28T05:00:00.000
CVE-1999-0091,1997-10-28T05:00:00.000
CVE-1999-0092,1997-10-29T05:00:00.000
CVE-1999-0093,1997-10-29T05:00:00.000
CVE-1999-0094,1997-10-29T05:00:00.000
CVE-1999-0097,1997-10-29T05:00:00.000
CVE-1999-0322,1997-10-29T05:00:00.000
CVE-1999-0216,1997-11-01T05:00:00.000
CVE-1999-0327,1997-11-01T05:00:00.000
