ioc,ioc_type,malware,first_seen
s1744.house-spirit.com,domain,Unknown malware,2026-06-14 12:12:57
s1744.byte-buff.com,domain,Unknown malware,2026-06-14 12:12:56
s1744.novel-layer.com,domain,Unknown malware,2026-06-14 12:12:56
s1744.star-layer.com,domain,Unknown malware,2026-06-14 12:12:55
s1746.byte-buff.com,domain,Unknown malware,2026-06-14 12:12:54
s1746.house-spirit.com,domain,Unknown malware,2026-06-14 12:12:54
s1746.novel-layer.com,domain,Unknown malware,2026-06-14 12:12:53
s1746.star-layer.com,domain,Unknown malware,2026-06-14 12:12:53
s1747.byte-buff.com,domain,Unknown malware,2026-06-14 12:12:53
s1747.house-spirit.com,domain,Unknown malware,2026-06-14 12:12:52
s1747.novel-layer.com,domain,Unknown malware,2026-06-14 12:12:52
s1747.star-layer.com,domain,Unknown malware,2026-06-14 12:12:52
s1748.byte-buff.com,domain,Unknown malware,2026-06-14 12:12:51
s1748.house-spirit.com,domain,Unknown malware,2026-06-14 12:12:51
5.39.216.137:8083,ip:port,Mirai,2026-06-14 12:12:51
5.39.216.137:8082,ip:port,Mirai,2026-06-14 12:12:50
5.175.215.102:456,ip:port,Mirai,2026-06-14 12:12:50
5.189.129.198:80,ip:port,Mirai,2026-06-14 12:12:49
31.56.209.8:6782,ip:port,Mirai,2026-06-14 12:12:49
37.16.74.24:1337,ip:port,Mirai,2026-06-14 12:12:48
37.16.74.24:1414,ip:port,Mirai,2026-06-14 12:12:48
37.49.224.15:80,ip:port,Mirai,2026-06-14 12:12:47
37.49.224.15:25565,ip:port,Mirai,2026-06-14 12:12:47
37.49.229.42:80,ip:port,Mirai,2026-06-14 12:12:47
37.49.229.42:1337,ip:port,Mirai,2026-06-14 12:12:46
37.49.229.42:25565,ip:port,Mirai,2026-06-14 12:12:46
45.9.2.162:25565,ip:port,Mirai,2026-06-14 12:12:46
45.9.156.250:1111,ip:port,Mirai,2026-06-14 12:12:45
45.9.156.250:8092,ip:port,Mirai,2026-06-14 12:12:45
45.13.239.7:8000,ip:port,Mirai,2026-06-14 12:12:45
45.142.195.105:8082,ip:port,Mirai,2026-06-14 12:12:42
45.142.195.105:8083,ip:port,Mirai,2026-06-14 12:12:41
45.153.34.26:80,ip:port,Mirai,2026-06-14 12:12:41
45.194.92.2:1000,ip:port,Mirai,2026-06-14 12:12:41
45.202.247.123:80,ip:port,Mirai,2026-06-14 12:12:40
45.205.1.33:25565,ip:port,Mirai,2026-06-14 12:12:40
51.254.156.25:1111,ip:port,Mirai,2026-06-14 12:12:40
62.84.172.147:1337,ip:port,Mirai,2026-06-14 12:12:39
66.29.156.104:5000,ip:port,Mirai,2026-06-14 12:12:39
